GEOID,NAME,county_name,total_pop,poverty_rate,median_income,snap_rate,no_vehicle_rate
12086000107,Census Tract 1.07; Miami-Dade County; Florida,Miami-Dade,3013.0,14.437437769664784,54811.0,6.8181818181818175,17.17171717171717
12086000109,Census Tract 1.09; Miami-Dade County; Florida,Miami-Dade,3187.0,20.806861499364675,55179.0,14.575214341387374,8.106001558846454
12086000115,Census Tract 1.15; Miami-Dade County; Florida,Miami-Dade,1788.0,7.158836689038031,97847.0,4.557640750670242,9.651474530831099
12086000118,Census Tract 1.18; Miami-Dade County; Florida,Miami-Dade,1208.0,6.456953642384105,98824.0,2.0325203252032518,10.772357723577237
12086000120,Census Tract 1.20; Miami-Dade County; Florida,Miami-Dade,4175.0,10.035928143712574,73939.0,4.476861167002013,8.249496981891348
12086000121,Census Tract 1.21; Miami-Dade County; Florida,Miami-Dade,1787.0,15.836597649692221,87500.0,1.9675925925925926,5.787037037037037
12086000122,Census Tract 1.22; Miami-Dade County; Florida,Miami-Dade,3883.0,3.528199845480299,92524.0,5.167674546454096,5.332600329851567
12086000123,Census Tract 1.23; Miami-Dade County; Florida,Miami-Dade,4099.0,13.905830690412296,56500.0,4.5687885010266935,3.747433264887064
12086000124,Census Tract 1.24; Miami-Dade County; Florida,Miami-Dade,3515.0,10.49645390070922,42105.0,39.49771689497717,14.079147640791476
12086000125,Census Tract 1.25; Miami-Dade County; Florida,Miami-Dade,4314.0,16.249420491423272,50440.0,4.878048780487805,7.784120394395433
12086000126,Census Tract 1.26; Miami-Dade County; Florida,Miami-Dade,1978.0,27.80586450960566,32600.0,11.607992388201712,18.173168411037107
12086000127,Census Tract 1.27; Miami-Dade County; Florida,Miami-Dade,2547.0,13.191990577149587,46933.0,7.295504789977893,8.179808400884303
12086000128,Census Tract 1.28; Miami-Dade County; Florida,Miami-Dade,3887.0,6.0200668896321075,78427.0,5.9667240390131955,6.597819850831899
12086000129,Census Tract 1.29; Miami-Dade County; Florida,Miami-Dade,2190.0,4.794520547945205,106950.0,2.1883920076117986,9.60989533777355
12086000130,Census Tract 1.30; Miami-Dade County; Florida,Miami-Dade,2698.0,6.639313688922044,88350.0,3.0660377358490565,5.267295597484277
